fund_code,fund_name,base_date,class_label,class_code,account_type,channel,front_load_text,fee_total,fee_distribution,fee_peer_avg,fee_total_cost,chunk_id,page,source_path
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),2025-01-17,수수료선취-오프라인(A),A,,오프라인,납입금 액의 1% 이내,1.47,0.7,1.37,1.47,KR510902511M_p3_0007,3,투자설명서 복사본/KR510902511M/R2_KR510902511M.pdf
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),2025-01-17,수수료미징구-오프라인-보 수체감(C1),C1,,오프라인,-,2.07,1.3,1.58,2.07,KR510902511M_p3_0007,3,투자설명서 복사본/KR510902511M/R2_KR510902511M.pdf
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),2025-01-17,수수료선취-온라인(A-e),A-e,,온라인,납입금 액의 0.5% 이내,1.12,0.35,1.01,1.12,KR510902511M_p3_0007,3,투자설명서 복사본/KR510902511M/R2_KR510902511M.pdf
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),2025-01-17,수수료미징구-온라인(C-e),C-e,,온라인,-,1.27,0.5,1.19,1.27,KR510902511M_p3_0007,3,투자설명서 복사본/KR510902511M/R2_KR510902511M.pdf
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),2025-01-17,수수료미징구-오프라인-개 인연금(C-P),C-P,연금저축,오프라인,-,1.57,0.8,,1.57,KR510902511M_p3_0007,3,투자설명서 복사본/KR510902511M/R2_KR510902511M.pdf
KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식),2025-01-17,수수료미징구-오프라인-퇴 직연금(C-P2),C-P2,퇴직연금,오프라인,-,1.41,0.64,,1.41,KR510902511M_p3_0007,3,투자설명서 복사본/KR510902511M/R2_KR510902511M.pdf
KR510902773M,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),2025-11-07,수수료미징구-오프라인-개 인연금(C),C,연금저축,오프라인,-,1.54,0.95,,1.54,KR510902773M_p3_0007,3,투자설명서 복사본/KR510902773M/R2_KR510902773M.pdf
KR510902773M,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식),2025-11-07,수수료미징구-온라인-개인 연금(C-e),C-e,연금저축,온라인,-,1.065,0.475,,1.065,KR510902773M_p3_0007,3,투자설명서 복사본/KR510902773M/R2_KR510902773M.pdf
KR510902777M,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식),2025-11-07,수수료미징구-오프라인-개 인연금(C),C,연금저축,오프라인,-,1.54,0.95,,1.54,KR510902777M_p3_0007,3,투자설명서 복사본/KR510902777M/R2_KR510902777M.pdf
KR510902777M,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식),2025-11-07,수수료미징구-온라인-개인 연금(C-e),C-e,연금저축,온라인,-,1.065,0.475,,1.065,KR510902777M_p3_0007,3,투자설명서 복사본/KR510902777M/R2_KR510902777M.pdf
KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),2025-12-23,수수료선취-오프라인(A),A,,오프라인,납입금 액의 0.1% 이내,0.3,0.2,0.33,0.31,KR5110501016_p3_0007,3,투자설명서 복사본/KR5110501016/R2_KR5110501016.pdf
KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),2025-12-23,수수료미징구-오프라인(C),C,,오프라인,-,0.39,0.29,0.4,0.4,KR5110501016_p3_0007,3,투자설명서 복사본/KR5110501016/R2_KR5110501016.pdf
KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),2025-12-23,수수료선취-온라인(A-e),A-e,,온라인,납입금 액의 0.05% 이내,0.2,0.1,0.25,0.21,KR5110501016_p3_0007,3,투자설명서 복사본/KR5110501016/R2_KR5110501016.pdf
KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),2025-12-23,수수료미징구-온라인(Ce),Ce,,온라인,-,0.245,0.145,0.27,0.255,KR5110501016_p3_0007,3,투자설명서 복사본/KR5110501016/R2_KR5110501016.pdf
KR5110501016,미래에셋프리미엄크레딧알파증권자투자신탁(채권),2025-12-23,수수료미징구-오프라인-개 인연금(C-P),C-P,연금저축,오프라인,-,0.33,0.23,,0.34,KR5110501016_p3_0007,3,투자설명서 복사본/KR5110501016/R2_KR5110501016.pdf
KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],2025-07-04,수수료선취-오프라인(A),A,,오프라인,납입금 액의 0.5% 이내,0.2775,0.1,1.37,0.2775,KR5110601022_p3_0007,3,투자설명서 복사본/KR5110601022/R2_KR5110601022.pdf
KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],2025-07-04,수수료미징구-오프라인(C),C,,오프라인,-,0.5775,0.4,1.58,0.5775,KR5110601022_p3_0007,3,투자설명서 복사본/KR5110601022/R2_KR5110601022.pdf
KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],2025-07-04,수수료선취-온라인(Ae),Ae,,온라인,납입금 액의 0.25% 이내,0.2275,0.05,1.01,0.2275,KR5110601022_p3_0007,3,투자설명서 복사본/KR5110601022/R2_KR5110601022.pdf
KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],2025-07-04,수수료미징구-온라인(Ce),Ce,,온라인,-,0.2775,0.1,1.19,0.2775,KR5110601022_p3_0007,3,투자설명서 복사본/KR5110601022/R2_KR5110601022.pdf
KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식],2025-07-04,수수료미징구-오프라인-개 인연금(C-P),C-P,연금저축,오프라인,-,0.4825,0.305,,0.4825,KR5110601022_p3_0007,3,투자설명서 복사본/KR5110601022/R2_KR5110601022.pdf
KR5111420047,하나파워e단기채증권자투자신탁[채권],2025-05-16,수수료선취-오프라인(A),A,,오프라인,,0.1736,,,,KR5111420047_p5_0011,5,투자설명서 복사본/KR5111420047/R2_KR5111420047.pdf
KR5111420047,하나파워e단기채증권자투자신탁[채권],2025-05-16,수수료미징구-오프라인(C),C,,오프라인,,0.187,,,,KR5111420047_p5_0011,5,투자설명서 복사본/KR5111420047/R2_KR5111420047.pdf
KR5111420047,하나파워e단기채증권자투자신탁[채권],2025-05-16,수수료선취-온라인(A-E),A-E,,온라인,,0.1236,,,,KR5111420047_p5_0011,5,투자설명서 복사본/KR5111420047/R2_KR5111420047.pdf
KR5111420047,하나파워e단기채증권자투자신탁[채권],2025-05-16,수수료미징구-온라인(C-E),C-E,,온라인,,0.1303,,,,KR5111420047_p5_0011,5,투자설명서 복사본/KR5111420047/R2_KR5111420047.pdf
KR5111420047,하나파워e단기채증권자투자신탁[채권],2025-05-16,수수료미징구-오프라인-개인연금(C-P),C-P,연금저축,오프라인,,0.177,,,,KR5111420047_p5_0011,5,투자설명서 복사본/KR5111420047/R2_KR5111420047.pdf
KR5111420047,하나파워e단기채증권자투자신탁[채권],2025-05-16,수수료미징구-오프라인-퇴직연금(C-P2),C-P2,퇴직연금,오프라인,,0.1736,,,,KR5111420047_p5_0011,5,투자설명서 복사본/KR5111420047/R2_KR5111420047.pdf
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],2025-06-27,수수료선취-오프라인(A),A,,오프라인,,1.54,,,,KR5111450067_p6_0013,6,투자설명서 복사본/KR5111450067/R2_KR5111450067.pdf
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],2025-06-27,수수료미징구-오프라인-보수체감(C1),C1,,오프라인,,2.3026,,,,KR5111450067_p6_0013,6,투자설명서 복사본/KR5111450067/R2_KR5111450067.pdf
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],2025-06-27,수수료선취-온라인(A-E),A-E,,온라인,,1.1713,,,,KR5111450067_p6_0013,6,투자설명서 복사본/KR5111450067/R2_KR5111450067.pdf
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],2025-06-27,수수료미징구-온라인(C-E),C-E,,온라인,,1.4926,,,,KR5111450067_p6_0013,6,투자설명서 복사본/KR5111450067/R2_KR5111450067.pdf
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],2025-06-27,수수료미징구-오프라인-개인연금(C-P),C-P,연금저축,오프라인,,1.5026,,,,KR5111450067_p6_0013,6,투자설명서 복사본/KR5111450067/R2_KR5111450067.pdf
KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식],2025-06-27,수수료미징구-오프라인-퇴직연금(C-P2),C-P2,퇴직연금,오프라인,,1.4026,,,,KR5111450067_p6_0013,6,투자설명서 복사본/KR5111450067/R2_KR5111450067.pdf
