chunk_id,fund_code,fund_name
KR510902511M_p4_0011,KR510902511M,미래에셋장기성장포커스증권자투자신탁1호(주식)
KR510902773M_p3_0008,KR510902773M,미래에셋고배당포커스연금저축증권전환형자투자신탁1호(주식)
KR510902777M_p3_0008,KR510902777M,미래에셋코어밸류연금저축증권전환형자투자신탁1호(주식)
KR5110601022_p4_0012,KR5110601022,미래에셋차세대Fun인덱스증권자투자신탁[주식]
KR5111450067_p6_0012,KR5111450067,하나IT코리아증권자투자신탁(제1호)[주식]
KR5114420016_p7_0013,KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권]
KR5114420016_p38_0091,KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권]
KR5114420016_p41_0100,KR5114420016,삼성ABF코리아장기채권인덱스증권투자신탁[채권]
KR5114420022_p7_0012,KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권]
KR5114420022_p37_0088,KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권]
KR5114420022_p38_0091,KR5114420022,삼성클래식연금증권전환형투자신탁 제1호[채권]
KR5114420027_p36_0089,KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권]
KR5114420027_p38_0095,KR5114420027,삼성코리아중기채권증권자투자신탁 제1호[채권]
KR5114420046_p7_0012,KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권]
KR5114420046_p30_0070,KR5114420046,삼성퇴직연금인덱스12M증권자투자신탁 제1호[채권]
KR5114450222_p7_0013,KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식]
KR5114450222_p41_0089,KR5114450222,삼성클래식연금증권전환형자투자신탁 제1호[주식]
KR5114450270_p7_0013,KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식]
KR5114450270_p30_0071,KR5114450270,삼성퇴직연금KOSPI200증권자투자신탁 제1호[주식]
KR5116501001_p6_0014,KR5116501001,명 칭 금융투자협회 펀드코드
KR5119520012_p5_0011,KR5119520012,신한상대가치장기증권자투자신탁[채권]
KR5119520012_p5_0012,KR5119520012,신한상대가치장기증권자투자신탁[채권]
KR5120420091_p6_0013,KR5120420091,교보악사 내일환매 초단기우량채증권투자신탁[채권]
KR5122420005_p37_0099,KR5122420005,유진챔피언단기채증권자투자신탁(채권)
KR5123420049_p27_0088,KR5123420049,키움더드림단기채증권투자신탁[채권]
KR5127420045_p5_0010,KR5127420045,KB스타 단기 국공채 증권 자투자신탁(채권)(B5517)
KR5127420083_p5_0010,KR5127420083,KB 장기국채 플러스 증권 자투자신탁(채권)(BG607)
KR5144420020_p34_0090,KR5144420020,NH-Amundi 국채10년 인덱스 증권자투자신탁[채권]
KR5144450095_p5_0011,KR5144450095,NH-Amundi 필승 코리아 증권투자신탁 [주식]
KR5153420063_p3_0008,KR5153420063,미래에셋솔로몬단기국공채증권자투자신탁1호(채권)
KR5153420079_p4_0011,KR5153420079,미래에셋솔로몬중장기국공채증권자투자신탁1호(채권)
KR5153420105_p4_0011,KR5153420105,미래에셋솔로몬장기국공채증권자투자신탁1호(채권)
KR5153420318_p5_0012,KR5153420318,미래에셋AI퀀트미국투자등급회사채증권자투자신탁(채권)
KR5153450112_p3_0008,KR5153450112,미래에셋라이프사이클2030연금증권전환형자투자신탁1호(주식)
KR5153450209_p3_0008,KR5153450209,미래에셋퇴직연금코어밸류증권자투자신탁1호(주식)
KR5153450250_p3_0008,KR5153450250,미래에셋퇴직연금고배당포커스증권자투자신탁1호(주식)
KR5153450268_p4_0011,KR5153450268,미래에셋스마트롱숏70증권자투자신탁1호(주식)
KR5153450658_p5_0012,KR5153450658,미래에셋솔로몬초단기국공채증권자투자신탁2호(채권)
KR5153450772_p4_0013,KR5153450772,미래에셋그린뉴딜인덱스증권자투자신탁(주식)
KR5153520012_p3_0008,KR5153520012,미래에셋퇴직플랜증권자투자신탁1호(채권)
KR5157420003_p4_0009,KR5157420003,마이다스 우량채권 증권 자투자신탁 제1호(채권)
KR5157450017_p4_0009,KR5157450017,마이다스 책임투자 증권 투자신탁(주식)
KR5157450090_p4_0009,KR5157450090,마이다스 거북이 90 증권 자투자신탁 1호(주식)
KR5185450009_p30_0100,KR5185450009,키움 차세대모빌리티 증권 자투자신탁 제1호[주식]
COMMON_cdd56a44d4fe,,
COMMON_a0cd68df7126,,
