doc_id,doc_type,fund_code,fund_name,kofia_code,base_date,n_pages,n_ocr_pages,n_chunks,n_tables,status,source_path,error
doc1,연금문서,,,,,3,3,5,0,OK,0.docs_renamed 복사본/doc1.pdf,
doc10,연금문서,,,,,3,0,4,1,OK,0.docs_renamed 복사본/doc10.pdf,
doc11,연금문서,,,,,2,0,4,1,OK,0.docs_renamed 복사본/doc11.pdf,
doc12,연금문서,,,,,4,0,5,0,OK,0.docs_renamed 복사본/doc12.pdf,
doc13,연금문서,,,,,3,0,4,0,OK,0.docs_renamed 복사본/doc13.pdf,
doc14,연금문서,,,,,4,0,6,0,OK,0.docs_renamed 복사본/doc14.pdf,
doc15,연금문서,,,,,3,0,4,0,OK,0.docs_renamed 복사본/doc15.pdf,
doc16,연금문서,,,,,4,0,8,2,OK,0.docs_renamed 복사본/doc16.pdf,
doc17,연금문서,,,,,4,0,6,0,OK,0.docs_renamed 복사본/doc17.pdf,
doc18,연금문서,,,,,4,0,6,0,OK,0.docs_renamed 복사본/doc18.pdf,
doc19,연금문서,,,,,1,0,1,0,OK,0.docs_renamed 복사본/doc19.pdf,
doc2,연금문서,,,,,3,3,5,0,OK,0.docs_renamed 복사본/doc2.pdf,
doc20,연금문서,,,,,1,0,6,2,OK,0.docs_renamed 복사본/doc20.docx,
doc21,연금문서,,,,,1,1,3,0,OK,0.docs_renamed 복사본/doc21.pdf,
doc22,연금문서,,,,,5,2,2,0,OK,0.docs_renamed 복사본/doc22.pdf,
doc23,연금문서,,,,,1,0,5,2,OK,0.docs_renamed 복사본/doc23.docx,
doc24,연금문서,,,,,16,16,7,0,OK,0.docs_renamed 복사본/doc24.pdf,
doc25,연금문서,,,,,1,0,2,0,OK,0.docs_renamed 복사본/doc25.docx,
doc26,연금문서,,,,,1,0,2,0,OK,0.docs_renamed 복사본/doc26.docx,
doc27,연금문서,,,,,6,5,22,0,OK,0.docs_renamed 복사본/doc27.pdf,
doc28,연금문서,,,,,2,1,4,0,OK,0.docs_renamed 복사본/doc28.pdf,
doc29,연금문서,,,,,1,0,38,1,OK,0.docs_renamed 복사본/doc29.docx,
doc3,연금문서,,,,,4,4,6,0,OK,0.docs_renamed 복사본/doc3.pdf,
doc30,연금문서,,,,,17,16,8,0,OK,0.docs_renamed 복사본/doc30.pdf,
doc31,연금문서,,,,,11,11,7,0,OK,0.docs_renamed 복사본/doc31.pdf,
doc32,연금문서,,,,,15,15,10,0,OK,0.docs_renamed 복사본/doc32.pdf,
doc33,연금문서,,,,,1,0,4,2,OK,0.docs_renamed 복사본/doc33.docx,
doc34,연금문서,,,,,1,0,3,0,OK,0.docs_renamed 복사본/doc34.docx,
doc35,연금문서,,,,,1,0,1,0,OK,0.docs_renamed 복사본/doc35.docx,
doc36,연금문서,,,,,1,0,4,2,OK,0.docs_renamed 복사본/doc36.docx,
doc37,연금문서,,,,,8,8,9,0,OK,0.docs_renamed 복사본/doc37.pdf,
doc38,연금문서,,,,,1,0,3,1,OK,0.docs_renamed 복사본/doc38.docx,
doc39,연금문서,,,,,1,0,5,1,OK,0.docs_renamed 복사본/doc39.docx,
doc4,연금문서,,,,,2,2,3,0,OK,0.docs_renamed 복사본/doc4.pdf,
doc40,연금문서,,,,,1,0,4,1,OK,0.docs_renamed 복사본/doc40.docx,
doc41,연금문서,,,,,1,0,3,1,OK,0.docs_renamed 복사본/doc41.docx,
doc42,연금문서,,,,,1,0,5,2,OK,0.docs_renamed 복사본/doc42.docx,
doc43,연금문서,,,,,1,0,6,2,OK,0.docs_renamed 복사본/doc43.docx,
doc44,연금문서,,,,,1,0,2,0,OK,0.docs_renamed 복사본/doc44.docx,
doc45,연금문서,,,,,1,0,3,0,OK,0.docs_renamed 복사본/doc45.docx,
doc46,연금문서,,,,,1,0,3,0,OK,0.docs_renamed 복사본/doc46.pdf,
doc47,연금문서,,,,,1,0,2,0,OK,0.docs_renamed 복사본/doc47.pdf,
doc48,연금문서,,,,,1,0,3,0,OK,0.docs_renamed 복사본/doc48.pdf,
doc49,연금문서,,,,,1,0,3,0,OK,0.docs_renamed 복사본/doc49.pdf,
doc5,연금문서,,,,,4,4,8,0,OK,0.docs_renamed 복사본/doc5.pdf,
